BAIRRO,TIPO,OCORRENCIA
BOA VIAGEM,AUTOMÓVEL,ATROPELAMENTO
TORRE,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
CAMPO GRANDE,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
SANTO AMARO,AUTOMÓVEL,COLISÃO
SANTO ANTÔNIO,AUTOMÓVEL,COLISÃO
BAIRRO DO RECIFE,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
IMBIRIBEIRA,AUTOMÓVEL,COLISÃO
CASA AMARELA,AUTOMÓVEL,COLISÃO
VÁRZEA,AUTOMÓVEL,COLISÃO
MADALENA,AUTOMÓVEL,COLISÃO
MADALENA,AUTOMÓVEL,COLISÃO
ESTÂNCIA,AUTOMÓVEL,ATROPELAMENTO
ILHA DO LEITE,AUTOMÓVEL,ATROPELAMENTO
CABANGA,AUTOMÓVEL,COLISÃO
PORTO DA MADEIRA,AUTOMÓVEL,COLISÃO
IMBIRIBEIRA,CICLISTA,COLISÃO
AREIAS,CICLISTA,COLISÃO
SAN MARTIN,CICLISTA,COLISÃO
ARRUDA,CICLISTA,COLISÃO
CASA AMARELA,CICLISTA,ATROPELAMENTO
AFOGADOS,CICLISTA,COLISÃO
CAJUEIRO,CICLISTA,COLISÃO
IMBIRIBEIRA,CICLISTA,COLISÃO
BOMBA DO HEMETÉRIO,CICLISTA,COLISÃO
AREIAS,CICLISTA,COLISÃO
DERBY,CICLISTA,COLISÃO
SANTO ANTÔNIO,CICLOMOTOR,COLISÃO
IMBIRIBEIRA,CICLOMOTOR,COLISÃO
CABANGA,CICLOMOTOR,ATROPELAMENTO
AFOGADOS,CICLOMOTOR,COLISÃO
BOA VIAGEM,CICLOMOTOR,COLISÃO
BOA VIAGEM,CICLOMOTOR,COLISÃO
BOA VISTA,CICLOMOTOR,COLISÃO
